CourseCode,Course Title,Semester (F/S),type (LEC/TUT/PRA),session,cataglory,Date of the week 1 (1/2/3/4/5),Start time1,end time 1,Date of the week 2 (1/2/3/4/5),Start time2,end time2,Date of the week 3 (1/2/3/4/5),Start time2,end time 2
ECE1256H,Microwave Circuits,F,LEC,1,Electromagnetics,1,15,16,3,15,16,5,15,16
ECE1256H,Microwave Circuits,F,TUT,1,Electromagnetics,2,15,16,,,,,,
ECE1229H,Advanced Antenna Theory,S,LEC,1,Electromagnetics,1,10,12,2,14,16,,,
ECE1243H,Topics in EM Waves: Advanced Engineering Electromagnetics,S,LEC,1,Electromagnetics,3,10,12,,,,,,
ECE1336H,Semiconductor Physics,F,LEC,1,Electronics,3,15,19,,,,,,
ECE1352H,Analog Circuit Design I,F,LEC,1,Electronics,2,11,13,,,,,,
ECE1387H,CAD for Digital Circuit Synthesis & Layout,F,LEC,1,Electronics,5,16,18,,,,,,
ECE1388H,VLSI Design Methodology,F,LEC,1,Electronics,5,9,12,,,,,,
ECE532H1,Digital Systems Design,S,LEC,1,Electronics,5,13,14,2,13,14,3,13,14
ECE532H1,Digital Systems Design,S,PRA,1,Electronics,1,12,15,,,,,,
ECE532H1,Digital Systems Design,S,PRA,2,Electronics,1,15,18,,,,,,
ECE1365H,High Frequency Integrated Circuits,S,LEC,1,Electronics,4,17,20,,,,,,
ECE1371H,Advanced Analog Circuits,S,LEC,1,Electronics,2,10,12,,,,,,
ECE1394H,Technical Management of Modern IC Design,S,LEC,1,Electronics,1,16,18,,,,,,
ECE1395H,Power Semiconductor Devices & Applications,S,LEC,1,Electronics,4,10,12,,,,,,
ECE1396H,Analog & Mixed Signal Processing Circuits,S,LEC,1,Electronics,1,9,11,3,9,10,,,
ECE1396H,Analog & Mixed Signal Processing Circuits,S,TUT,1,Electronics,5,10,12,,,,,,
ECE1398H,VLSI Technology,S,LEC,1,Electronics,1,14,15,3,14,15,4,14,15
ECE1398H,VLSI Technology,S,PRA,1,Electronics,3,9,12,,,,,,
ECE514H1,Power Electronics: Converter Topologies,F,LEC,1,Energy Systems,1,11,12,2,11,12,3,11,12
ECE514H1,Power Electronics: Converter Topologies,F,TUT,1,Energy Systems,4,10,11,,,,,,
ECE514H1,Power Electronics: Converter Topologies,F,PRA,1,Energy Systems,1,12,15,,,,,,
ECE1049H,Special Topics: Power System Protection,F,LEC,1,Energy Systems,2,13,15,,,,,,
ECE1068H,Introduction to Electrocompatibility,F,LEC,1,Energy Systems,4,10,12,,,,,,
ECE1086H,Power Management for Photovoltaic Systems,F,LEC,1,Energy Systems,4,13,15,,,,,,
ECE1094H,Mathematical Methods in Power Systems,F,LEC,1,Energy Systems,2,10,12,,,,,,
ECE533H1,Power Electronics: Switch-Mode Power Supplies,S,LEC,1,Energy Systems,5,16,17,2,16,17,3,16,17
